,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality,shannon_entropy,degree_variance
barabasi_nonlinear_15_16.edgelist,0.0240421295226397,0.4568402321455228,599.4660000000005,2.197932,0.0612533710837183,-0.3631960061988964,0.0029416364343761,0.0035882909304167,2.570088703317008,168.5860314498209
barabasi_nonlinear_15_14.edgelist,0.0233582881844205,0.4616450868637961,587.7109999999997,2.174422,0.0603914372471095,-0.3584954372143129,0.0029441399865093,0.0034996447866242,2.5869702370031544,178.40099962350735
barabasi_nonlinear_15_53.edgelist,0.0254852805079484,0.4423582226359825,637.2259999999995,2.273452,0.0505528449901732,-0.2783806903926411,0.002967046439022,0.0038013899494627,2.645314868322091,187.06126447414672
barabasi_nonlinear_15_84.edgelist,0.0240288791823926,0.4464372762691956,626.19,2.25138,0.0680260471868117,-0.33936198891106,0.0029832551846096,0.0037624792040035,2.686655490837769,139.7184669254569
barabasi_nonlinear_15_30.edgelist,0.0240384928200089,0.4572156753654748,599.0470000000001,2.197094,0.0573289533157757,-0.3217643232868095,0.002945283530123,0.0035980488480252,2.6020116108500915,181.8651056873381
barabasi_nonlinear_15_89.edgelist,0.0256467512885858,0.4334035908866221,659.5290000000002,2.318058,0.0710057614082834,-0.3687576097156406,0.0029582292855274,0.003688849453066,2.632648722749265,124.41864811996632
barabasi_nonlinear_15_49.edgelist,0.0255506361037942,0.443283235627835,634.1780000000002,2.267356,0.0574960929493457,-0.3177652320841312,0.00296471849073,0.0036908956228643,2.6431491016112325,163.96722233422142
barabasi_nonlinear_15_44.edgelist,0.0237721566471143,0.4571497173089937,598.9929999999995,2.196986,0.0551123021098371,-0.3430608631909037,0.0029406998813556,0.0034823958317946,2.5725109744586985,190.23669467271557
barabasi_nonlinear_15_86.edgelist,0.0226930178648744,0.4654959780835547,579.1669999999999,2.157334,0.0565081423463618,-0.2981992294217386,0.0029605214954287,0.0035571509689541,2.629829726963353,192.54609837646672
barabasi_nonlinear_15_60.edgelist,0.0234759782087361,0.4503026175763313,616.7039999999996,2.232408,0.0609152558654805,-0.3126220549679352,0.002966302934971,0.0036536539526079,2.654690701811958,162.23516881367
barabasi_nonlinear_15_22.edgelist,0.0235100623992726,0.4549386266402385,605.3070000000002,2.209614,0.0544624179327666,-0.3028215886396815,0.0029674985960837,0.0036492299769794,2.6632429915234264,189.65934373678155
